26340      14.4
18043     14.28
11685     19.94
30245      20.4
29450     15.37
29637     31.77
12581     34.01
12483     29.37
16727     42.91
24875      9.56
25295        29
17293      7.64
16875     47.17
11866     36.82
22351     30.01
23506     16.23
15224     22.36
23836     41.45
30734     35.42
27546     20.93
11632     35.09
10983      7.15
14257     24.34
25446     33.28
14416     13.38
10000     13.84
28989     16.88
23478     15.85
31419     28.51
21044     26.59
12842     24.99
29428      8.97
16242     36.68
30476      7.68
31294     42.56
30456     22.08
22281     23.44
29757     42.48
19892     41.15
28467     22.82
27281     24.56
21670      6.66
22010     46.05
18119      8.09
15696     47.94
29495     46.26
21424     46.08
28053      8.34
32037     28.18
26942     13.86
15804     28.14
26945     19.84
28285     20.79
24726     17.78
32463     11.01
32575     11.52
29512     11.27
11634     34.42
28103     26.41
26609     37.17
22621     43.66
14338     24.74
10955     45.39
24526     25.59
18907       8.3
12794     27.47
17547      9.99
19481     42.45
11066     49.04
24913     26.99
28840      19.3
17146     10.09
10631     37.63
14017     14.26
25247     31.13
32105     22.28
17183     49.38
17447     42.35
29733     28.72
23955     26.19
25803     32.55
26444       6.6
10561     46.06
15367     33.29
14242     49.25
11965     12.38
26303     20.07
29176      6.34
22222      37.8
32041     13.44
14219      9.97
17383     15.05
28422     18.75
20459     34.49
31324      6.07
12278     20.92
28438      40.4
18611     25.07
32644      6.66
31163      9.85
26140      7.19
10773     11.67
21795      8.99
23358     37.88
24993     30.42
25631     20.09
12727     16.11
28506     15.79
32104     24.07
30581     17.23
17486     21.68
21229     45.86
24301     49.54
22899     30.69
22844      14.7
12926      15.8
12087     14.79
20070     44.82
10451      35.6
17855     21.64
10919     27.16
26409     22.45
16448      8.27
22611     41.23
11511     13.89
28370     40.49
30140     19.36
19832     21.91
99999     36.39
10338      12.2
32001      8.33
18736     15.66
11948     23.36
26537     49.48
22196     26.22
23001     11.56
18061     32.04
16288     22.45
19382        13
28906     32.51
26138     40.49
31831     28.26
27832     24.78
23900     12.09
20328     38.43
24338     31.02
23500     41.42
27907      8.67
21204     29.52
19265     19.31
15614     13.59
25342     15.93
15043     42.64
29842     27.69
30413     12.93
24428     39.04
24649      9.41
17494     25.89
22467     33.14
25044     27.06
16438     21.68
30735     18.14
29006     18.53
10719     10.73
14584     13.84
55115     36.22
13305      8.67
16671     28.94
29774     49.36
